element,position,is_captain,is_vice_captain,multiplier,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,total_points,in_dreamteam,id_x,total_assists,total_bonus,total_bps,total_clean_sheets,total_creativity,total_goals_conceded,total_goals_scored,total_ict_index,total_influence,total_minutes,total_own_goals,total_penalties_missed,total_penalties_saved,total_red_cards,total_saves,total_threat,total_yellow_cards,added,chance_of_playing_next_round,chance_of_playing_this_round,code,draft_rank,dreamteam_count,ep_next,ep_this,event_points,first_name,form,total_in_dreamteam,news,news_added,news_return,news_updated,points_per_game,second_name,squad_number,status,total_total_points,web_name,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,element_type,team,element_id,element_count,singular_name,singular_name_short,plural_name,plural_name_short,entry_id,entry_name,id_y,joined_time,player_first_name,player_last_name,short_name,waiver_pick,game_week
363,1,False,False,1,90,0,0,0,1,0,0,0,0,0,2,0,17,22.6,0.0,0.0,2.3,2,False,363,0,8,527,7,0.0,57,0,74.0,741.0,2700,0,0,0,0,93,0.0,2,2020-08-13T09:27:17.113978Z,100.0,100.0,58376,450,0,,,2,Alex,1.2,False,,2021-01-03T19:30:22.183417Z,,,3.1,McCarthy,,a,94,McCarthy,39,13,585,56,567,52,223,13,1,16,1,80,Goalkeeper,GKP,Goalkeepers,GKP,164273,Boom Xhaka Laka,164651,2020-09-01T18:27:43.454935Z,Jack,Chandler,JC,,1
259,2,False,False,1,88,0,0,0,3,0,0,0,0,0,0,0,10,7.8,30.4,0.0,3.8,1,False,259,8,26,761,10,1198.7,40,2,250.7,785.2,3029,0,0,0,0,0,524.0,2,2020-08-13T09:27:16.990455Z,100.0,100.0,169187,30,0,,,5,Trent,6.6,True,,2020-11-08T18:30:19.053913Z,,,4.4,Alexander-Arnold,,a,160,Alexander-Arnold,24,4,3,1,63,1,14,1,2,11,2,246,Defender,DEF,Defenders,DEF,164273,Boom Xhaka Laka,164651,2020-09-01T18:27:43.454935Z,Jack,Chandler,JC,,1
471,3,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,471,0,0,24,0,25.3,7,0,5.7,31.2,172,0,0,0,0,0,0.0,0,2020-08-13T09:27:17.242186Z,0.0,0.0,216054,526,0,,,0,Rúben Gonçalo,0.0,False,Joined Olympiacos on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T16:00:17.052604Z,,,0.5,Silva Nascimento Vinagre,,u,1,Vinagre,438,164,382,139,529,215,448,166,2,20,2,246,Defender,DEF,Defenders,DEF,164273,Boom Xhaka Laka,164651,2020-09-01T18:27:43.454935Z,Jack,Chandler,JC,,1
492,4,False,False,1,90,0,0,0,4,0,0,0,0,0,0,0,14,23.4,0.2,18.0,4.2,0,False,492,0,2,220,4,52.2,21,0,41.4,230.2,1130,0,0,0,0,0,131.0,1,2020-09-01T11:01:39.551603Z,100.0,0.0,193645,621,0,,,0,Robin,0.2,False,,2021-05-17T09:30:24.541640Z,,,2.2,Koch,,a,38,Koch,274,108,339,113,257,77,318,110,2,10,2,246,Defender,DEF,Defenders,DEF,164273,Boom Xhaka Laka,164651,2020-09-01T18:27:43.454935Z,Jack,Chandler,JC,,1
354,5,False,False,1,90,0,0,0,2,0,0,0,0,0,0,0,8,19.2,2.3,0.0,2.2,1,False,354,0,0,19,0,2.5,3,0,4.3,40.2,180,0,0,0,0,0,0.0,0,2020-08-13T09:27:17.103394Z,100.0,0.0,146610,269,0,,,0,Jack,0.0,False,,2020-09-27T12:30:11.602150Z,,,1.5,O'Connell,,a,3,O'Connell,425,160,446,171,657,234,453,168,2,15,2,246,Defender,DEF,Defenders,DEF,164273,Boom Xhaka Laka,164651,2020-09-01T18:27:43.454935Z,Jack,Chandler,JC,,1
395,6,False,False,1,90,0,0,0,1,0,0,0,0,0,0,0,15,20.2,35.5,36.0,9.2,2,False,395,2,1,253,4,136.8,16,0,43.4,232.8,1340,0,0,0,0,0,65.0,1,2020-08-13T09:27:17.152081Z,100.0,0.0,115556,321,0,,,0,Ben,0.0,False,,2021-03-23T13:30:28.736756Z,,,2.6,Davies,,a,52,Davies,273,107,229,57,333,113,311,106,2,17,2,246,Defender,DEF,Defenders,DEF,164273,Boom Xhaka Laka,164651,2020-09-01T18:27:43.454935Z,Jack,Chandler,JC,,1
465,7,False,False,1,90,0,0,1,0,0,0,0,0,0,0,0,6,12.8,1.8,17.0,3.2,3,False,465,4,5,359,7,751.0,41,2,187.2,475.4,2640,0,0,0,0,0,645.0,4,2020-08-13T09:27:17.235576Z,100.0,100.0,159533,55,0,,,1,Adama,3.2,False,,2021-01-15T18:00:24.824968Z,,,2.5,Traoré,,a,94,Traoré,149,56,23,19,54,32,42,26,3,20,3,295,Midfielder,MID,Midfielders,MID,164273,Boom Xhaka Laka,164651,2020-09-01T18:27:43.454935Z,Jack,Chandler,JC,,1
501,8,False,False,1,79,0,0,0,1,0,0,0,0,0,0,0,8,8.4,14.8,0.0,2.3,2,False,501,6,3,268,8,306.0,15,4,110.3,325.0,1512,0,0,0,0,0,476.0,2,2020-09-06T11:01:21.791891Z,100.0,75.0,219847,22,0,,,1,Kai,0.8,False,,2021-05-18T22:00:23.318560Z,,,3.4,Havertz,,a,91,Havertz,224,93,132,88,65,37,113,66,3,5,3,295,Midfielder,MID,Midfielders,MID,164273,Boom Xhaka Laka,164651,2020-09-01T18:27:43.454935Z,Jack,Chandler,JC,,1
357,9,False,False,1,90,0,0,0,2,0,0,0,1,0,0,0,3,12.0,15.3,41.0,6.8,1,False,357,2,2,101,0,207.8,27,1,83.1,182.6,1316,0,0,0,0,0,444.0,2,2020-08-13T09:27:17.106919Z,100.0,0.0,169432,99,0,,,0,Oliver,0.0,False,,2021-04-11T21:00:28.552730Z,,,1.9,McBurnie,,a,44,McBurnie,302,33,186,29,82,33,197,33,4,15,4,92,Forward,FWD,Forwards,FWD,164273,Boom Xhaka Laka,164651,2020-09-01T18:27:43.454935Z,Jack,Chandler,JC,,1
166,10,False,False,1,90,0,0,1,0,0,0,0,0,0,0,0,17,26.2,13.8,67.0,10.7,2,False,166,6,18,415,11,359.2,38,7,203.2,576.4,2862,0,0,0,1,0,1097.0,4,2020-08-13T09:27:16.880180Z,100.0,100.0,212319,23,0,,,1,Richarlison,3.2,False,,2021-01-11T14:00:23.066552Z,,,3.6,de Andrade,,a,123,Richarlison,86,11,102,11,12,8,31,8,4,7,4,92,Forward,FWD,Forwards,FWD,164273,Boom Xhaka Laka,164651,2020-09-01T18:27:43.454935Z,Jack,Chandler,JC,,1
377,11,False,False,1,84,0,0,0,1,0,0,0,0,0,0,0,3,4.4,13.1,21.0,3.9,2,False,377,7,16,443,7,488.6,51,9,203.4,581.8,2662,0,0,0,0,0,964.0,1,2020-08-13T09:27:17.130745Z,100.0,0.0,200439,104,0,,,0,Che,4.6,False,,2021-05-18T21:30:20.645444Z,,,3.8,Adams,,a,137,Adams,81,10,62,5,21,13,33,10,4,16,4,92,Forward,FWD,Forwards,FWD,164273,Boom Xhaka Laka,164651,2020-09-01T18:27:43.454935Z,Jack,Chandler,JC,,1
291,12,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,291,0,4,416,9,0.0,32,0,46.4,464.2,2295,0,0,0,0,59,0.0,0,2020-08-13T09:27:17.028723Z,100.0,100.0,51940,159,0,,,0,David,0.8,False,,2021-03-04T13:00:26.233611Z,,,3.5,de Gea,,a,91,de Gea,157,20,703,77,702,75,300,20,1,13,1,80,Goalkeeper,GKP,Goalkeepers,GKP,164273,Boom Xhaka Laka,164651,2020-09-01T18:27:43.454935Z,Jack,Chandler,JC,,1
306,13,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,306,11,9,535,12,682.1,39,11,260.3,793.2,2917,0,0,0,0,0,1127.0,4,2020-08-13T09:27:17.046208Z,100.0,100.0,176297,10,0,,,0,Marcus,2.8,False,,2021-04-23T13:30:19.821497Z,,,4.7,Rashford,,a,174,Rashford,23,8,31,25,14,5,12,8,3,13,3,295,Midfielder,MID,Midfielders,MID,164273,Boom Xhaka Laka,164651,2020-09-01T18:27:43.454935Z,Jack,Chandler,JC,,1
